symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
SCHL,Scholastic Corporation,42.98,1496829603.22,n/a,n/a,Consumer Services,Books,http://www.nasdaq.com/symbol/schl,2538
SCLN,SciClone Pharmaceuticals Inc.,9.7,501354752.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scln,2539
SGMS,Scientific Games Corp,22.95,2037883645.35,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sgms,2540
SNI,Scripps Networks Interactive Inc,72.5,9403879445,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/sni,2541
SCYX,SCYNEXIS Inc.,2.65,67837225.45,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scyx,2542
SEAC,SeaChange International Inc.,2.55,90046250.25,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/seac,2543
SBCF,Seacoast Banking Corporation of Florida,24.09,980846946.42,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbcf,2544
STX,Seagate Technology PLC,43.55,12918125142.65,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/stx,2545
SHIP,Seanergy Maritime Holdings Corp,0.72,25850732.4,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/ship,2546
SHIPW,Seanergy Maritime Holdings Corp,0.13,0,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/shipw,2547
SRSC,Sears Canada Inc. ,0.8599,87604601.5538,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/srsc,2548
SHLD,Sears Holdings Corporation,10.76,1152945168.88,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/shld,2549
SHLDW,Sears Holdings Corporation,3.14,0,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/shldw,2550
SHOS,Sears Hometown and Outlet Stores Inc.,3.4,77234848.8,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/shos,2551
SPNE,SeaSpine Holdings Corporation,8.32,97653761.92,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/spne,2552
SGEN,Seattle Genetics Inc.,61.82,8822740026.54,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/sgen,2553
EYES,Second Sight Medical Products Inc.,1.17,65947785.93,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eyes,2554
EYESW,Second Sight Medical Products Inc.,0.388,0,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/eyesw,2555
SCWX,SecureWorks Corp.,8.99,724289679.51,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/scwx,2556
SNFCA,Security National Financial Corporation,6.9,108479750.7,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/snfca,2557
SEIC,SEI Investments Company,51.41,8159271023.64,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seic,2558
SLCT,Select Bancorp Inc.,11.96,139460429.16,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/slct,2559
SCSS,Select Comfort Corporation,30.99,1291539240,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/scss,2560
SIR,Select Income REIT,24.2,2164154429.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sir,2561
SELB,Selecta Biosciences Inc.,13.02,241927250.04,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/selb,2562
SIGI,Selective Insurance Group Inc.,50.8,2959005512,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/sigi,2563
LEDS,SemiLEDS Corporation,2.9,10207028.5,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/leds,2564
SMTC,Semtech Corporation,34.05,2246406085.35,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/smtc,2565
SENEA,Seneca Foods Corp.,36.35,354739686.35,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/senea,2566
SENEB,Seneca Foods Corp.,39,380601039,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/seneb,2567
SNES,SenesTech Inc.,7.4,75191710.8,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/snes,2568
SNH,Senior Housing Properties Trust,21.03,4995560393.37,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snh,2569
SNHNI,Senior Housing Properties Trust,24.58,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snhni,2570
SNHNL,Senior Housing Properties Trust,26.26,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snhnl,2571
SNMX,Senomyx Inc.,0.89,42287667.37,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/snmx,2572
SRTS,Sensus Healthcare Inc.,3.75,50726880,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/srts,2573
SRTSW,Sensus Healthcare Inc.,0.6,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/srtsw,2574
SQBG,Sequential Brands Group Inc.,3.62,227553341.18,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sqbg,2575
MCRB,Seres Therapeutics Inc.,9.99,403277598.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mcrb,2576
SREV,ServiceSource International Inc.,3.76,332819013.2,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/srev,2577
SFBS,ServisFirst Bancshares Inc.,38.1,2012152287.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfbs,2578
SEV,Sevcon Inc.,12.96,69232229.28,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sev,2579
SVBI,Severn Bancorp Inc,7.105,86147876.325,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/svbi,2580
SGOC,SGOCO Group Ltd,1.6,16208115.2,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sgoc,2581
SMED,Sharps Compliance Corp,4.47,71461250.79,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/smed,2582
SHSP,SharpSpring Inc.,4.25,35579074.75,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/shsp,2583
SHEN,Shenandoah Telecommunications Co,31.9,1566218575.9,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shen,2584
PIXY,ShiftPixy Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pixy,2585
SHLO,Shiloh Industries Inc.,12.69,226363661.64,n/a,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/shlo,2586
SCCI,Shimmick Construction Company Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/scci,2587
TYHT,Shineco Inc.,4.01,84346628.72,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/tyht,2588
SHPG,Shire plc,181.61,14929243693.65,82204965,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg,2589
SCVL,Shoe Carnival Inc.,22.82,403747094.52,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/scvl,2590
SHBI,Shore Bancshares Inc,16.55,209732771.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/shbi,2591
SHOR,ShoreTel Inc.,6.45,439858401.45,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shor,2592
SFLY,Shutterfly Inc.,52.58,1773470820,n/a,n/a,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/sfly,2593
SIFI,SI Financial Group Inc.,14.95,182443715.35,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sifi,2594
SIEB,Siebert Financial Corp.,4.3,94966041.8,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/sieb,2595
SIEN,Sientra Inc.,8.2,156781925.4,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/sien,2596
BSRR,Sierra Bancorp,25.49,352517753.01,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bsrr,2597
SRRA,Sierra Oncology Inc.,1.36,71085082.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/srra,2598
SWIR,Sierra Wireless Inc.,28.45,914868271.65,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/swir,2599
SIFY,Sify Technologies Limited,0.8501,21335193.4775,25097275,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/sify,2600
SIGM,Sigma Designs Inc.,6.2,236549257.2,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/sigm,2601
SGLB,Sigma Labs Inc.,2.84,12979365.16,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sglb,2602
SGLBW,Sigma Labs Inc.,1.03,0,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sglbw,2603
SGMA,SigmaTron International Inc.,5.75,24074174.75,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/sgma,2604
SBNY,Signature Bank,136.98,7480501086.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbny,2605
SBNYW,Signature Bank,124,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbnyw,2606
SLGN,Silgan Holdings Inc.,61.81,3408337280.46,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/slgn,2607
SILC,Silicom Ltd,53.67,396171169.71,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/silc,2608
SLAB,Silicon Laboratories Inc.,71,3007468978,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/slab,2609
SIMO,Silicon Motion Technology Corporation,50.34,1774342839.84,35247176,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/simo,2610
SPIL,Siliconware Precision Industries Company Ltd.,8.03,303400637.76,37783392,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/spil,2611
